Price,Type
7.88300,SELL
7.87800,SELL
7.87300,SELL
7.86800,SELL
7.86300,SELL
7.85800,SELL
7.85300,SELL
7.84800,SELL
7.84300,SELL
7.83800,SELL
7.83300,SELL
7.82800,SELL
7.82300,SELL
7.81800,SELL
7.81300,SELL
7.80800,SELL
7.80300,SELL
7.79800,SELL
7.79300,SELL
7.78800,SELL
7.78300,SELL
7.77800,SELL
7.77300,SELL
7.76800,SELL
7.76300,SELL
